addr	name	region	named	sig	doc	locals	boundary
0x08033fb0	gme_check_language	core-gme-script	Y		Y		
0x08034130	gme_mount_check_product	core-gme-script	Y		Y		
0x08034434	gme_clear_special_play_flag	core-gme-script	Y		Y		
0x0803454c	gme_reset_media_cache	core-gme-script	Y		Y		
0x08034900	sm_ao_all_rings_idle	core-gme-script	Y		Y		Y
0x08034bc0	poweroff_voice_sequencer	core-gme-script	Y		Y		
0x08034cbc	gme_read_game_type	core-gme-script	Y		Y		
0x08034d74	gme_rand_in_range	core-gme-script	Y		Y		
0x08034da0	gme_exec_command	core-gme-script	Y	Y	Y		
0x08035338	gme_parse_media_offsets	core-gme-script	Y		Y		
0x080353e8	gme_parse_playlist	core-gme-script	Y		Y		
0x080354c8	gme_parse_actions	core-gme-script	Y	Y	Y	Y	
0x08035624	gme_check_condition	core-gme-script	Y		Y		
0x08035888	gme_parse_check_conditions	core-gme-script	Y		Y		
0x080359a4	gme_oid_to_playscript	core-gme-script	Y		Y		
0x08035a6c	gme_clear_script_state	core-gme-script	Y		Y		
0x08035b8c	gme_parse_media_offsets2	core-gme-script	Y		Y		
0x08035c3c	gme_parse_start_end_oid	core-gme-script	Y		Y		
0x08035ca8	gme_reset_registers	core-gme-script	Y		Y		
0x08035d20	gme_parse_header	core-gme-script	Y		Y		
0x08036228	gme_parse_additional_script	core-gme-script	Y		Y		
0x0803629c	gme_oid_dispatch	core-gme-script	Y	Y	Y		
0x08038320	gme_play_system_voice	core-gme-dispatch/parse	Y		Y		
0x08038be0	physpool_free	core-gme-dispatch/parse	Y		Y		Y
0x08038c5c	gme_alloc_binary_region	core-gme-dispatch/parse	Y		Y		
0x08038ce4	physpool_alloc	core-gme-dispatch/parse	Y		Y		Y
0x08077230	gme_power_on_playlist_play	game-handlers(GME script types / states14-68)	Y		Y		
0x080773c8	game_record_load_outer	game-handlers(GME script types / states14-68)	Y		Y		
0x080774e0	game_record_load	game-handlers(GME script types / states14-68)	Y		Y		
0x080779ac	game14_pick_unplayed_subgame	game-handlers(GME script types / states14-68)	Y		Y		
0x08077a8c	game14_subgame_parse	game-handlers(GME script types / states14-68)	Y		Y		
0x08078014	playlistlist_parse	game-handlers(GME script types / states14-68)	Y		Y		
0x08078050	playlistlist_play	game-handlers(GME script types / states14-68)	Y		Y		
0x08078318	game14_match_target_oids	game-handlers(GME script types / states14-68)	Y		Y		
0x08078474	game14_match_decoy_oids	game-handlers(GME script types / states14-68)	Y		Y		
0x08078524	game14_match_other_oids	game-handlers(GME script types / states14-68)	Y		Y		
0x080785cc	game14_phase_engine	game-handlers(GME script types / states14-68)	Y		Y		
0x08078e58	game14_entry	game-handlers(GME script types / states14-68)	Y		Y		
0x08079884	game61_ctx_reset	game-handlers(GME script types / states14-68)	Y		Y		
0x0807992c	game61_record_load	game-handlers(GME script types / states14-68)	Y		Y		
0x08079dec	game61_pick_unplayed_subgame	game-handlers(GME script types / states14-68)	Y		Y		
0x08079e4c	game61_subgame_parse	game-handlers(GME script types / states14-68)	Y		Y		
0x0807a1ac	game61_match_target_oids	game-handlers(GME script types / states14-68)	Y		Y	Y	
0x0807a24c	game61_match_other_oids	game-handlers(GME script types / states14-68)	Y		Y		
0x0807a2e0	game61_play_phase_cue	game-handlers(GME script types / states14-68)	Y	Y	Y		
0x0807a500	game61_read_pll_count	game-handlers(GME script types / states14-68)	Y	Y	Y		
0x0807a530	game61_phase_engine	game-handlers(GME script types / states14-68)	Y		Y		
0x0807a8e4	game61_entry	game-handlers(GME script types / states14-68)	Y		Y		
0x0807a940	game61_engine	game-handlers(GME script types / states14-68)	Y	Y	Y		
0x0807b120	game61_teardown	game-handlers(GME script types / states14-68)	Y		Y		
0x0807b198	game62_ctx_reset	game-handlers(GME script types / states14-68)	Y		Y		
0x0807b240	game62_record_load	game-handlers(GME script types / states14-68)	Y		Y		
0x0807b4ac	game62_pick_unplayed_subgame	game-handlers(GME script types / states14-68)	Y		Y		
0x0807b50c	game62_subgame_parse	game-handlers(GME script types / states14-68)	Y		Y		
0x0807b84c	game62_match_target_oids	game-handlers(GME script types / states14-68)	Y		Y	Y	
0x0807b924	game62_match_other_oids	game-handlers(GME script types / states14-68)	Y		Y		
0x0807b9d4	game62_read_pll_count	game-handlers(GME script types / states14-68)	Y	Y	Y		
0x0807ba04	game62_play_phase_cue	game-handlers(GME script types / states14-68)	Y	Y	Y		
0x0807bc10	game62_phase_engine	game-handlers(GME script types / states14-68)	Y		Y		
0x0807bd68	game62_entry	game-handlers(GME script types / states14-68)	Y		Y		
