0x08009320,wait_hw_bits_clear
0x08009354,hang_forever
0x08009878,ptr_nonnull_check
0x0800988c,dbg_assert_stub
0x08009890,dbg_stub2
0x08009c18,memcmp
0x08009cf4,memset0
0x0800aebc,audio_state_reset
0x0800af74,gpio_pin_lookup
0x0800b024,is_audio_playing
0x0800b2ec,audio_wait_tick
0x0800b35c,event_queue_post
0x0800b65c,sm_set_sound_profile
0x0800b86c,sm_ao_ring_clear
0x0800b884,sm_ao_event_in_ring
0x0800b8cc,sm_ao_event_coalesce
0x0800c190,read_u32
0x0800de20,fs_open
0x0800dec8,fs_read
0x0800ded8,fs_seek
0x0800df70,fs_read_xor_decrypt
0x0800e030,fs_read_plain
0x080119c4,printf
0x08010f78,sysapi_write
0x08014484,sysapi_close
0x08013158,sysapi_is_audio_playing
0x08016008,sysapi_open
0x080160b0,sysapi_read
0x080160c0,sysapi_seek
0x08030030,str_lib_fn
0x0803021c,Utl_StrCmpC
0x0803029c,Utl_StrCpy
0x08030324,Utl_StrCpyN
0x080303e4,Utl_StrCat
0x080304c0,Utl_Itoa
0x08030e4c,codepage_load
0x08030fb4,codepage_get_header
0x080310d0,codepage_get_widechar
0x08031824,map_gb0_to_codepage_sel
0x08031cb8,aud_player_stop
0x08031db0,aud_player_stop_2
0x0803258c,aud_player_reset
0x080325dc,aud_player_decode_loop
0x080329b0,aud_player_set_source
0x08032c94,aud_player_play
0x08033fb0,gme_check_language
0x08034130,gme_mount_check_product
0x08034d74,gme_rand_in_range
0x08034da0,gme_exec_command
0x08035338,gme_parse_media_offsets
0x080353e8,gme_parse_playlist
0x080354c8,gme_parse_actions
0x08035624,gme_check_condition
0x08035888,gme_parse_check_conditions
0x080359a4,gme_oid_to_playscript
0x08035a6c,gme_clear_script_state
0x08035b8c,gme_parse_media_offsets2
0x08035c3c,gme_parse_start_end_oid
0x08035ca8,gme_reset_registers
0x08035d20,gme_parse_header
0x08036228,gme_parse_additional_script
0x0803629c,gme_oid_dispatch
0x08038484,fs_mount_helper
0x080385c4,malloc_core
0x080389a4,malloc
0x08038c5c,gme_alloc_binary_region
0x08038da8,power_battery_check
0x08038f5c,app_init_main
0x08039068,get_serial_no
0x080391e0,nop_stub
0x08039628,clock_periph_init
0x08039834,gpio_config_unpack
0x080399ac,heap_init
0x08039a68,fs_partition_scan
0x0803a3b0,boot_read_serial_and_codepage
0x0803a420,init_loop_str
0x0803a434,app_input_ctx_init
0x0803a484,fs_storage_mount_init
0x0803a794,mem_heap_init
0x0803a7e0,store_cfg_pair
0x0803a984,ram_bitmap_alloc
0x0803a9c4,ram_bitmap_free
0x0803ab68,event_queue_init
0x0803abd4,codec_clock_init
0x0803ad78,oid_sensor_init
0x0803b018,timer_subsystem_init
0x0803c784,flash_erase_region
0x0803cc80,flash_program_region
0x0803cff8,charger_out_handler
0x0803d1d4,usb_power_switch
0x0803dcfc,usb_bulk_cbw_handler
0x0803df20,usb_scsi_handler
0x0803f0a0,fwlog_open
0x08040b48,usb_setup_request_handler
0x08040df8,usb_set_address
0x080414e4,usb_bus_reset
0x080419d8,sysapi_malloc
0x08041aa8,sysapi_malloc
0x08041ab4,sysapi_free
0x08042c58,nftl_update_log2phy
0x08042d34,nand_EraseBlk
0x08043780,nftl_check_block_danger
0x08044628,NFTL_Erase
0x080446c0,NFTL_IsBadBlock
0x08044754,NFTL_SetBadBlock
0x08044d28,nftl_init
0x080451a4,nftl_init_2
0x080457b4,mtd_free_block
0x08045e80,mtd_init
0x080466e8,mtd_reload
0x08046be0,nand_mtd_2
0x08046ed8,nand_mtd_3
0x0804855c,nftl_load_info
0x080443d0,Nand_CreatePartition
0x0804cecc,splash_prodtest_handler
0x0804fd84,sm_get_event_action_table
0x0804fd8c,sm_get_transition_action_table
0x0804fd94,sm_get_state_descriptor_table
0x080504a4,charge_main
0x08050670,charge_count
0x0805083c,akoid_set_tempbyte1
0x080508f8,power_off
0x08050a8c,power_off_or_charge_park
0x08050bc4,usb_phy_arm_detect
0x08050d28,usb_connect_handler
0x08050fb8,usb_state_dbg
0x08051090,usb_state_handler
0x08051b0c,standby_handler
0x08051fd4,fw_update
0x08052224,fwupdate_finish_restart
0x080523b4,lang_play_batlow
0x08052508,lang_get_num
0x08052768,fw_update_cleanup
0x0805c2dc,game_action_handler_main
0x08069a20,game_ctx_init_flags
0x08069a3c,game_load_header
0x08069f0c,game_play_phase_cue
0x0806a0dc,game_pick_voice
0x0806a3c4,game_voice_pick_norepeat
0x0806a580,game_reading_sm
0x0806ba54,game_start
0x0806bad8,game_oid_dispatch
0x0806f058,game_random_id
0x0806f244,game_wronglimit_sm
0x08074b7c,game_load_playlist_offsets
0x08076758,gametype_handler_6c214
0x08078ec4,gametype_handler_6e980
0x0807a940,game61_engine
0x0807bdc8,game62_engine
0x0807d4a0,game63_actionq_drain
0x0807f904,game68_match_other_oids
0x080810d0,study_step_handler
0x080833f8,gametype_handler_78eb4
0x080853c8,gametype_handler_7ae84
0x08086764,study_return_handler
0x080880a0,gametype_handler_7db5c
0x08089558,game58_engine
0x0808ae10,game59_engine
0x0808c678,study_handler_82134
0x0808d298,game_quiz_lookup_question
0x0808d3c8,game_quiz_load_profmad_cand_maybe
0x0808d6a0,game_quiz_play_cue
0x0808d84c,game_quiz_match_answer
0x0808d8ec,game_quiz_match_answerset_maybe
0x0808d98c,game_quiz_sm
0x0808f2e8,game5_init
0x080904bc,game4_init
0x08090cb4,game4_exit
0x080919dc,game_step_confirm_handler
0x08092f00,game_findtarget_sm
0x08093298,game_step_change_handler
0x08093820,game7_exit
0x080942dc,game6_mini_init
0x080956b4,ask_question
0x08095ddc,game_check_function_code
0x08096304,game3_mini_init
0x08096da4,game2_mini_init
0x08097120,minigame2_exit
0x08097ff8,game_spe1_init
0x080996ac,special_game2_handler
0x0809c5f8,discovery_mode
0x080a326c,str_lib_fn_2
0x080a3300,str_lib_fn_3
0x080a8ecc,Fat_AllocFat
0x080aa934,gme_launch_binary_build_sysapi
0x080ab3ec,audio_amp_disable
0x080ab500,fwl_voice_stop_close
0x080ab620,fwl_voice_stop_sync
0x080ab6ac,play_media_setup
0x080ab7b4,play_media
0x080ab9ac,fwl_play_voice_by_id
0x080abb0c,audio_amp_enable
0x080abb50,audio_amp_pending
0x080abb60,aud_player_set_volume
0x080abef8,file_close_if_open
0x080ac044,cipher_byte
0x080ac060,cipher_byte_keyed
0x080ac07c,cipher_u16
0x080ac0b8,cipher_u32
0x080ac1ec,ConverHexToi
0x080ac5f8,rng_below
0x080ac638,ustr_lib_fn
0x080ac7b8,Utl_UStrIns
0x080ac8e0,Utl_UStrCmp
0x080ac978,Utl_UAtoi
0x080acd50,ustr_lib_fn_3
0x080b37b4,sysapi_play_sound
0x080ee04c,read_serial_bytes
0x080ee200,serial_is_valid
0x080ee6a0,str_compare
0x080ee6e4,prog_area_dump_checksum
0x080eeb20,akoid_init
0x080eed50,akoid_cmd_write
