0x08000a48,dbg_printf
0x080040ec,fs_open
0x080041c4,fs_read
0x080041d4,fs_seek
0x080092c0,fw_version_ref
0x0801c218,Utl_StrLen
0x0801c2b4,Utl_StrCmp_c2b4
0x0801c404,Utl_StrCmpC
0x0801c484,Utl_StrCpy
0x0801c50c,Utl_StrCpyN
0x0801c5cc,Utl_StrCat
0x0801c6a8,Utl_Itoa
0x0801c740,Utl_Atoi
0x0801d22c,eng_imageres_open
0x0801d344,Eng_ImageResDisp_fn
0x0801db7c,codepage_recover
0x0801dce4,codepage_get_header
0x0801dd94,codepage_get_char
0x0801ddd8,codepage_get_widechar
0x080219a0,akoid_open_check
0x08022a8c,mtd_extra_bitmap
0x08024880,fw_version_ref_4880
0x08025408,mtd_helper59
0x08027694,disk_sector_io
0x08027c10,usb_bulk_loop
0x08027f50,mtd_open_maptbl
0x08028ae0,usb_setup_handler
0x0802b020,usb_cache_init
0x0802b45c,nand_disk_mount
0x0802cdc0,mtd_helper
0x0802ce14,mtd_Dump
0x0802d0ac,nandmtd_fn
0x0802d244,mtd_helper_d244
0x0802d318,mtd_MapTblInit
0x0802d540,mtd_CheckLogAddr
0x0802d88c,mtd_helper_d88c
0x0802de44,mtd_DealReadErr
0x0802e330,mtd_Replace
0x0802e684,mtd_Try2Write
0x0802e9d4,mtd_helper_e9d4
0x0802ebcc,mtd_helper_ebcc
0x0802ed70,mtd_helper_ed70
0x0802f674,mtd_MarkBadBlk
0x0802fe2c,mtd_helper_fe2c
0x08030cf8,number_decompose_digits
0x08030e48,state_init_power_on
0x08035bc8,akoid_set_tempbyte
0x08036454,state_stdb_standby
0x08043204,Fwl_FileRead
0x08045c38,study_main
0x08054730,game_play_oid_voice
0x0805ab70,akoid_func_oid
0x08086d04,discovery_mode
0x0808d98c,state_study_readinggame6_d98c
0x0808da20,state_study_readinggame6_da20
0x08095a18,Ime_Malloc_Info
0x08096da4,Fwl_pfVoice_fn
0x08096ee4,Fwl_pfVoice_fn_6ee4
0x08096fe8,Fwl_pfVoice_fn_6fe8
0x08097068,voice_play_sample
0x0809716c,voice_load_and_play
0x08097374,play_chomp_voice
0x0809760c,ConverHexToi
0x08097944,Utl_UStrFndL
0x08097ac4,Utl_UStrIns
0x08097bec,Utl_UStrCmp
0x08097e84,Utl_UStrRevFndChr
0x08097f68,Utl_UStrFnd
0x08098114,Utl_UStrRevFnd
0x08098288,Utl_UStrCatChr
0x080983a0,Utl_UStrCmpNC
0x0809917c,Fwl_osFS_fn
0x08099a9c,log_aud_musiclist_fn
0x0809c87c,Gui_Common_fn
0x0809cd38,Utl_StrFndL
0x0809cf00,Utl_StrFndChr
0x0809cfac,Utl_StrRevFndChr
0x0809d054,Utl_StrCmp_d054
0x0809d0e4,Utl_StrCmp_d0e4
0x0809d178,Utl_StrUpper
0x0809d610,Ctl_EditRow_fn
0x0809d764,Ctl_EditRow_fn_d764
0x0809df00,IMEPinYin_GetCurPage
0x0809e1a4,IMEStroke_GetCurPage
0x0809e3d4,IMEBuShou_GetCurPage_BuShou
0x0809e628,IMEBuShou_GetCurPage
0x0809e9e0,IMELegend_GetCurPage
0x0809f898,Ctl_MsgBox_fn
0x0809fddc,blink_fn
0x0809feb8,blink_fn_feb8
0x080a014c,driver_fn
0x080a0440,file_fn
0x080a0814,file_fn_0814
0x080a09b4,file_fn_09b4
0x080a0c74,File_OpenId
0x080a0e04,File_Open
0x080a41ec,File_Deltree
0x080a4704,File_CopyFile
0x080a505c,list_fn
0x080a5180,list_fn_5180
0x080a53b8,medialib_fn_53b8
0x080a5f0c,medialib_fn_5f0c
0x080a6118,medialib_fn_6118
0x080a6194,medialib_fn_6194
0x080a6544,medialib_fn_6544
0x080a660c,medialib_fn_660c
0x080a7d80,DAC_SetHeadPhone
0x080a84e0,attr_fn
0x080a8638,attr_fn_8638
0x080a8748,cluster_fn
0x080a87dc,cluster_fn_87dc
0x080a89b8,cluster_fn_89b8
0x080a999c,blink_fn_999c
0x080aa19c,Fat_FdtSetName
0x080aa658,Fat_AllocFat
0x080ae0e4,Fname_ShortToLong
0x080ae5e8,string_fn
0x080ae674,string_fn_e674
0x080ae760,string_fn_e760
0x080ae8c8,string_fn_e8c8
0x080ae97c,string_fn_e97c
0x080aeb24,mtd_helper_eb24
0x080b0e3c,avi_demuxer_fn_0e3c
0x080b10f0,avi_demuxer_fn_10f0
0x080b1b40,avi_demuxer_fn_1b40
0x080b55f0,vorbis_get_info
0x080bb108,id3_parse_fn
0x08054bd4,game_reading_sm_dispatch
0x0800779c,data:gb_app_context
0x081d8854,data:p_pMeGame_slot
0x0804572c,gme_parse_header
0x08045648,gme_parse_oidrange
0x080456b4,gme_reset_regs
0x08045420,gme_clear
0x08045358,gme_oid_to_playscript
0x0804523c,gme_parse_check_conditions
0x08044ec8,gme_parse_actions
0x08044de8,gme_parse_playlist
0x08044d38,gme_parse_media_offsets
0x08045598,gme_parse_media_offsets2
0x080446e4,gme_exec_command
0x08043358,gme_oid_tap_handler
0x08045bc4,gme_load_additional_script
0x080560a8,game_start
0x08054090,game_load_playlist_offsets
0x08054074,game_ctx_init_flags
0x08054560,game_play_phase_cue
0x08054a18,game_reading_play_voice
0x08054ba0,game_reading_answer_check
0x08078094,game_quiz_sm
0x08077da8,game_quiz_play_cue
0x0807d608,game_findtarget_sm
0x0807d260,game_findtarget_play_cue
0x080598e8,game_wronglimit_sm
0x08059034,game_wronglimit_play_cue
0x080779a0,game_quiz_lookup_question
0x08077f54,game_quiz_match_answer
0x08077ff4,game_quiz_match_answerset
0x08077ad0,game_quiz_load_profmad_cand
0x0807d430,game_findtarget_check_and_count
0x0807d4b4,game_findtarget_check_hit
0x0807d160,game_findtarget_scan_target_oids
0x0807d5b4,game_findtarget_pick_random_target
0x0807ce0c,game_findtarget_load_target
0x080591e0,game_wronglimit_play_cue2
0x080596fc,game_wronglimit_rand_pick
0x08059688,game_wronglimit_count_winners
0x0805966c,util_max4
0x08059398,game_wronglimit_advance_answer
0x08058f80,game_wronglimit_lookup_oid
0x08058e44,game_wronglimit_load_question
0x08058b1c,game_wronglimit_pick_question
0x08058b3c,game_wronglimit_load_answers
0x08097914,rng_below
0x08001544,event_post
0x08095090,gme_launch_binary_build_sysapi
0x0809553c,gme_read_main_binary_table
0x08023324,gme_binary_load_region
0x08008a48,sysapi_open
0x08009498,sysapi_write
0x080096a8,sysapi_close
0x0800c1c4,sysapi_play_sound
0x080a0a88,sysapi_is_audio_playing
0x08028ddc,open_product_log
0x08028ee8,open_firmware_log
0x0802c014,usb_reset_speed
0x08039420,fw_update_finish_reset
0x0806b82c,game_change_sstep
0x0807c0e4,game_findtarget_confirm_step
0x0807d9a0,game_seven_step_change
0x080799f0,game_five_check_result
0x0807abc4,game_four_check_result
0x0807e9e4,minigame_six_sm
0x080814b0,minigame_two_sm
0x0807fdc0,minigame_three_sm
0x08082704,game_special_one_check_result
0x08083db8,game_special_two_entry
0x080955fc,study_separate_game0715
0x080a4d10,FatLib_GetVersion
0x080a52d0,medialib_get_version
0x080a69f4,burn_write_nand_file
0x080a6ba0,burn_check_status
0x080a6c58,burn_write_udisk_file
0x080a7158,burn_read_producer
0x080a721c,producer_update_main
0x080b0970,media_detect_codec
0x080b370c,ape_parse_tag
0x080b5c2c,media_seek
0x080b6254,nand_read_update_info
0x080b6468,nand_get_file_config
0x080b65b0,nand_erase_block_log
0x080b6c58,nand_write_config
0x080b70c0,nand_write_fat_info
0x080b7328,nand_write_mtd_data
0x080b74d4,nand_write_fat
0x080b8480,asf_parse_wm_metadata
0x080b9fe8,vorbis_parse_comment
0x080bc3a4,adpcm_decode
0x080bf118,int_to_hex_str
0x080c20b4,crt_signal_desc
